,0,1,2,3
109,44.7679519,-63.7830053,289.4198089,TRUE
110,44.73492665,-63.6596307,-1,FALSE
111,44.73647777,-63.72881633,-1,FALSE
112,44.7438463,-63.8054948,176.3417085,TRUE
113,44.7199629,-63.8252538,306.5425167,TRUE
114,44.7679703,-63.7828911,959.9327306,TRUE
115,44.6995165,-63.7601653,328.1490186,TRUE
116,44.7358861,-63.7928061,1183.513138,TRUE
117,44.7577888,-63.7911766,499.1297671,TRUE
118,44.6999504,-63.76045,532.522219,TRUE
119,44.712413,-63.8377992,1306.186168,TRUE
120,44.7229558,-63.7372308,275.0863332,TRUE
121,44.6987917,-63.6998951,333.1596251,TRUE
122,44.705305,-63.7067862,440.7362309,TRUE
123,44.7338544,-63.77474,99.83400013,TRUE
124,44.7003833,-63.7605957,1164.547134,TRUE
125,44.7266885,-63.644169,598.3804457,TRUE
126,44.7023894,-63.7265243,68.49382749,TRUE
127,44.75,-63.8015121,1004.012127,TRUE
128,44.7125045,-63.7520361,547.8991863,TRUE
129,44.7202576,-63.676064,398.3871637,TRUE
130,44.7161472,-63.8299178,375.1520278,TRUE
131,44.756207,-63.8552469,79.12838461,TRUE
132,44.768782,-63.7776002,53.60007724,TRUE
133,44.7057086,-63.7435797,9.00435722,TRUE
134,44.769094,-63.7771292,328.216222,TRUE
135,44.7484803,-63.7417847,92.77239816,TRUE
136,44.7279658,-63.8165127,235.0575138,TRUE
137,44.75,-63.8015121,612.6280944,TRUE
138,44.7021269,-63.674559,25.77443575,TRUE
139,44.7266885,-63.644169,392.4485259,TRUE
140,44.7161472,-63.8299178,1091.121432,TRUE
141,44.7263326,-63.7418474,270.9270975,TRUE
142,44.7283119,-63.751277,588.8547243,TRUE
143,44.7002722,-63.7504018,41.26547037,TRUE
144,44.7092696,-63.6920794,76.77683869,TRUE
145,44.7311472,-63.7554193,41.01579033,TRUE
146,44.7196764,-63.8255225,724.505746,TRUE
147,44.7740244,-63.7698399,796.3363296,TRUE
148,44.7148588,-63.8326593,1072.740834,TRUE
149,44.7125045,-63.7520361,520.4424925,TRUE
150,44.7091217,-63.6751578,30.04172408,TRUE
151,44.7088009,-63.7650517,19.8573471,TRUE
152,44.7709733,-63.7669293,379.4476749,TRUE
153,44.7268219,-63.6439592,877.732188,TRUE
154,44.70615587,-63.82167307,-1,FALSE
155,44.7049086,-63.7316897,7.921788577,TRUE
156,44.7376977,-63.7956476,1216.118468,TRUE
157,44.7566474,-63.7929716,710.3020134,TRUE
158,44.7160739,-63.7379033,70.54912531,TRUE
159,44.73328593,-63.66280602,-1,FALSE
160,44.7354355,-63.7973213,99.29883417,TRUE
161,44.7099188,-63.7447873,507.9201844,TRUE
162,44.7266885,-63.644169,509.6808274,TRUE
163,44.7670174,-63.7847214,301.4227643,TRUE
164,44.7010716,-63.7547262,534.9208724,TRUE
165,44.7064749,-63.6781011,22.14924027,TRUE
166,44.7659121,-63.7600223,655.0339697,TRUE
167,44.7729108,-63.7744911,49.4654929,TRUE
168,44.7446387,-63.8068962,163.8636687,TRUE
169,44.6999504,-63.76045,716.3586955,TRUE
170,44.7709733,-63.7669293,625.3792767,TRUE
171,44.6996307,-63.6977957,130.1269892,TRUE
172,44.7049657,-63.7388958,42.86488426,TRUE
173,44.7243433,-63.7363354,519.2972547,TRUE
174,44.7743624,-63.7720472,691.8412068,TRUE
175,44.7051899,-63.6874384,80.17306437,TRUE
176,44.7125045,-63.7520361,118.2443945,TRUE
177,44.7162888,-63.7378,582.5514043,TRUE
178,44.7218602,-63.8234897,637.2663412,TRUE
179,44.7266885,-63.644169,981.6730816,TRUE
180,44.7164497,-63.8292959,669.6778862,TRUE
181,44.7157026,-63.8308824,1157.201507,TRUE
182,44.7679703,-63.7828911,626.5636277,TRUE
183,44.7012005,-63.7547938,309.100497,TRUE
184,44.7190362,-63.7367795,166.2670977,TRUE
185,44.6973423,-63.7578839,332.6308217,TRUE
186,44.733796,-63.7710659,971.9867978,TRUE
187,44.7245352,-63.8207565,100.6361617,TRUE
188,44.7526561,-63.7383054,48.87749507,TRUE
189,44.7650545,-63.7859584,1317.128344,TRUE
190,44.7130538,-63.836479,1122.129792,TRUE
191,44.7185209,-63.7620016,619.0744305,TRUE
192,44.75,-63.7405199,1108.370873,TRUE
193,44.73202245,-63.67002917,-1,FALSE
194,44.7575903,-63.7287445,1081.75484,TRUE
195,44.7088009,-63.7650517,471.3365634,TRUE
196,44.7208308,-63.8244858,286.5156613,TRUE
197,44.6994906,-63.7547148,87.84869536,TRUE
198,44.7088009,-63.7650517,270.5296566,TRUE
199,44.7546862,-63.7960148,570.2941705,TRUE
200,44.73893833,-63.7295859,-1,FALSE
201,44.75,-63.7405199,1256.724303,TRUE
202,44.7059922,-63.7349191,38.77113721,TRUE
203,44.7134171,-63.7512166,610.588038,TRUE
204,44.7675957,-63.7640025,1072.207432,TRUE
205,44.696992,-63.7566778,36.73270599,TRUE
206,44.701532,-63.670872,525.6733514,TRUE
207,44.7618177,-63.7892958,526.5746786,TRUE
208,44.7376977,-63.7956476,1313.521433,TRUE
209,44.700041,-63.7604865,261.6175386,TRUE
210,44.7479524,-63.742233,1197.391649,TRUE
211,44.7206121,-63.6770101,1185.98481,TRUE
212,44.7597849,-63.7895739,407.7802351,TRUE
213,44.7676872,-63.7838042,154.6489447,TRUE
214,44.7152416,-63.8318505,593.4018385,TRUE
215,44.7003854,-63.7511953,216.7671871,TRUE
216,44.7088009,-63.7650517,475.9869863,TRUE
217,44.7022783,-63.7025454,92.14138079,TRUE
218,44.7198177,-63.7262155,362.2137045,TRUE
219,44.7358861,-63.7928061,1006.737967,TRUE
220,44.7556622,-63.8512995,56.14037601,TRUE
221,44.7493899,-63.8026511,328.6694297,TRUE
222,44.7125045,-63.7520361,506.9252286,TRUE
223,44.7239607,-63.7595071,80.55867206,TRUE
224,44.7396128,-63.6588321,-1,FALSE
225,44.7516635,-63.7724851,-1,FALSE
226,44.7103064,-63.7704606,994.1755277,TRUE
